qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
6552	1,18,26,8	2	0	19683	252	25,23,12	0	0
6553	1,19,26,8	2	0	19683	253	14,20,7	0	0
6554	1,20,26,8	2	0	19683	255	5,15,5	0	0
6555	1,21,26,8	2	0	19683	254	3,10,13	0	0
6556	1,22,26,8	1	0	19683	256	11,21,5	0	0
6557	1,23,26,8	2	0	19683	253	7,1,21	0	0
6558	1,24,26,8	2	0	19683	259	9,19,18	0	0
6559	1,25,26,8	2	0	19683	253	8,4,16	0	0
6560	1,26,26,8	2	0	19683	259	10,0,1	0	0
6561	1,0,0,9	2	0	19683	269	10,11,3	0	0
6562	1,1,0,9	2	0	19683	259	4,18,3	0	0
6563	1,2,0,9	2	0	19683	259	8,18,6	0	0
6564	1,3,0,9	2	0	19683	253	24,11,3	0	0
6565	1,4,0,9	2	0	19683	258	3,7,5	0	0
6566	1,5,0,9	2	0	19683	259	13,21,9	0	0
6567	1,6,0,9	2	0	19683	253	12,11,6	0	0
6568	1,7,0,9	2	0	19683	259	26,21,18	0	0
6569	1,8,0,9	2	0	19683	258	6,7,7	0	0
6570	1,9,0,9	2	0	19683	253	2,20,22	0	0
6571	1,10,0,9	2	0	19683	258	24,19,7	0	0
6572	1,11,0,9	2	0	19683	259	15,24,22	0	0
6573	1,12,0,9	2	0	19683	255	14,1,6	0	0
6574	1,13,0,9	2	0	19683	253	6,5,9	0	0
6575	1,14,0,9	2	0	19683	247	11,25,13	0	0
6576	1,15,0,9	2	0	19683	258	1,10,5	0	0
6577	1,16,0,9	2	0	19683	255	18,13,18	0	0
6578	1,17,0,9	2	0	19683	255	5,22,22	0	0
6579	1,18,0,9	2	0	19683	253	1,20,17	0	0
6580	1,19,0,9	2	0	19683	259	21,24,17	0	0
6581	1,20,0,9	2	0	19683	258	12,19,5	0	0
6582	1,21,0,9	2	0	19683	258	2,10,7	0	0
6583	1,22,0,9	2	0	19683	255	7,22,17	0	0
6584	1,23,0,9	2	0	19683	255	9,13,9	0	0
6585	1,24,0,9	2	0	19683	255	25,1,3	0	0
6586	1,25,0,9	2	0	19683	247	10,4,19	0	0
6587	1,26,0,9	2	0	19683	253	3,5,18	0	0
6588	1,0,1,9	2	0	19683	259	4,25,6	0	0
6589	1,1,1,9	2	0	19683	255	22,18,5	0	0
6590	1,2,1,9	2	0	19683	266	9,2,25	0	0
6591	1,3,1,9	2	0	19683	253	18,15,25	0	0
6592	1,4,1,9	2	0	19683	253	19,3,5	0	0
6593	1,5,1,9	2	0	19683	259	9,10,21	0	0
6594	1,6,1,9	2	0	19683	253	16,21,4	0	0
6595	1,7,1,9	2	0	19683	255	2,22,18	0	0
6596	1,8,1,9	2	0	19683	258	7,8,10	0	0
