cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
1071	14	20	8	10	21	l3	5	14	offline_retained	1
1079	14	20	10	21	8	l2	1	14	offline_retained	1
1097	15	24	16	22	1	l3	15	19	offline_retained	1
1098	15	24	1	16	22	l1	15	18	offline_retained	1
1102	15	24	1	22	16	l2	8	15	offline_retained	1
1109	15	12	17	23	2	l3	11	21	offline_retained	1
1111	15	12	2	23	17	l1	9	21	offline_retained	1
1113	15	12	2	17	23	l2	4	21	offline_retained	1
1116	15	25	3	9	24	1	8	26	offline_retained	1
1117	15	25	3	24	9	1	4	20	offline_retained	1
1120	15	25	3	24	9	l3	9	14	third_point_x3	1
1121	15	25	9	24	3	l3	1	6	offline_retained	1
1127	15	25	9	24	3	l2	1	2	offline_retained	1
1129	15	13	4	25	10	1	19	24	offline_retained	1
1130	15	13	10	25	4	1	11	13	offline_retained	1
1131	15	13	4	10	25	l3	17	22	offline_retained	1
1134	15	13	4	10	25	l1	14	22	offline_retained	1
1136	15	13	10	25	4	l1	4	7	third_point_x3	1
1140	15	1	5	11	26	1	10	18	offline_retained	1
1141	15	1	5	26	11	1	9	12	offline_retained	1
1148	15	1	11	26	5	l1	16	23	offline_retained	1
1150	15	1	5	26	11	l2	6	11	third_point_x3	1
1151	15	1	11	26	5	l2	7	16	offline_retained	1
1152	15	14	6	12	18	1	8	10	offline_retained	1
1153	15	14	6	18	12	1	4	13	offline_retained	1
1155	15	14	6	12	18	l3	18	25	third_point_x3	1
1157	15	14	12	18	6	l3	2	3	offline_retained	1
1163	15	14	12	18	6	l2	1	2	offline_retained	1
1164	15	2	7	13	19	1	18	24	offline_retained	1
1165	15	2	7	19	13	1	9	20	offline_retained	1
1172	15	2	13	19	7	l1	16	23	offline_retained	1
1173	15	2	7	13	19	l2	3	19	third_point_x3	1
1175	15	2	13	19	7	l2	5	23	offline_retained	1
1176	15	26	8	14	20	1	11	12	offline_retained	1
1178	15	26	14	20	8	1	19	26	offline_retained	1
1180	15	26	8	20	14	l3	17	22	offline_retained	1
