stratum	metric	value	count
rank1-graph	n_good_conjugate	206	546
rank1-graph	n_good_conjugate	207	494
rank1-graph	n_good_conjugate	208	312
rank1-graph	n_good_conjugate	209	156
rank1-graph	n_good_conjugate	210	442
rank1-graph	n_good_conjugate	211	2808
rank1-graph	n_good_conjugate	212	702
rank1-graph	n_good_conjugate	213	3510
rank1-graph	n_good_conjugate	214	1170
rank1-graph	n_good_conjugate	215	624
rank1-graph	n_good_conjugate	216	1404
rank1-graph	n_good_conjugate	217	1482
rank1-graph	n_good_conjugate	218	1638
rank1-graph	n_good_conjugate	219	3744
rank1-graph	n_good_conjugate	220	4368
rank1-graph	n_good_conjugate	221	4758
rank1-graph	n_good_conjugate	222	2262
rank1-graph	n_good_conjugate	223	3276
rank1-graph	n_good_conjugate	224	2574
rank1-graph	n_good_conjugate	225	3276
rank1-graph	n_good_conjugate	226	3588
rank1-graph	n_good_conjugate	227	4368
rank1-graph	n_good_conjugate	228	4394
rank1-graph	n_good_conjugate	229	9282
rank1-graph	n_good_conjugate	230	4524
rank1-graph	n_good_conjugate	231	6032
rank1-graph	n_good_conjugate	232	5616
rank1-graph	n_good_conjugate	233	6474
rank1-graph	n_good_conjugate	234	4888
rank1-graph	n_good_conjugate	235	5616
rank1-graph	n_good_conjugate	236	7488
rank1-graph	n_good_conjugate	237	7514
rank1-graph	n_good_conjugate	238	8736
rank1-graph	n_good_conjugate	239	8970
rank1-graph	n_good_conjugate	240	9620
rank1-graph	n_good_conjugate	241	8034
rank1-graph	n_good_conjugate	242	8190
rank1-graph	n_good_conjugate	243	10244
rank1-graph	n_good_conjugate	244	10920
rank1-graph	n_good_conjugate	245	10998
rank1-graph	n_good_conjugate	246	10296
rank1-graph	n_good_conjugate	247	10920
rank1-graph	n_good_conjugate	248	10764
rank1-graph	n_good_conjugate	249	10088
rank1-graph	n_good_conjugate	250	11310
rank1-graph	n_good_conjugate	251	10374
rank1-graph	n_good_conjugate	252	11128
rank1-graph	n_good_conjugate	253	9750
rank1-graph	n_good_conjugate	254	10764
rank1-graph	n_good_conjugate	255	12428
rank1-graph	n_good_conjugate	256	11466
rank1-graph	n_good_conjugate	257	8502
rank1-graph	n_good_conjugate	258	12714
rank1-graph	n_good_conjugate	259	10374
rank1-graph	n_good_conjugate	260	10608
rank1-graph	n_good_conjugate	261	10088
rank1-graph	n_good_conjugate	262	10062
rank1-graph	n_good_conjugate	263	10920
rank1-graph	n_good_conjugate	264	9906
rank1-graph	n_good_conjugate	265	8502
rank1-graph	n_good_conjugate	266	8502
rank1-graph	n_good_conjugate	267	9360
rank1-graph	n_good_conjugate	268	9282
rank1-graph	n_good_conjugate	269	8892
rank1-graph	n_good_conjugate	270	7696
rank1-graph	n_good_conjugate	271	7176
rank1-graph	n_good_conjugate	272	8112
rank1-graph	n_good_conjugate	273	8606
rank1-graph	n_good_conjugate	274	5772
rank1-graph	n_good_conjugate	275	6396
rank1-graph	n_good_conjugate	276	4862
rank1-graph	n_good_conjugate	277	5070
rank1-graph	n_good_conjugate	278	4680
rank1-graph	n_good_conjugate	279	5694
rank1-graph	n_good_conjugate	280	3276
rank1-graph	n_good_conjugate	281	4134
rank1-graph	n_good_conjugate	282	4264
rank1-graph	n_good_conjugate	283	3666
rank1-graph	n_good_conjugate	284	3666
rank1-graph	n_good_conjugate	285	4134
rank1-graph	n_good_conjugate	286	2418
rank1-graph	n_good_conjugate	287	2886
rank1-graph	n_good_conjugate	288	2938
rank1-graph	n_good_conjugate	289	1638
rank1-graph	n_good_conjugate	290	2106
rank1-graph	n_good_conjugate	291	2210
rank1-graph	n_good_conjugate	292	1326
rank1-graph	n_good_conjugate	293	858
rank1-graph	n_good_conjugate	294	1352
rank1-graph	n_good_conjugate	295	1014
rank1-graph	n_good_conjugate	296	702
rank1-graph	n_good_conjugate	297	650
rank1-graph	n_good_conjugate	298	1248
rank1-graph	n_good_conjugate	299	468
rank1-graph	n_good_conjugate	300	1287
rank1-graph	n_good_conjugate	301	468
rank1-graph	n_good_conjugate	302	780
rank1-graph	n_good_conjugate	303	338
rank1-graph	n_good_conjugate	304	468
rank1-graph	n_good_conjugate	305	234
rank1-graph	n_good_conjugate	306	182
rank1-graph	n_good_conjugate	307	156
rank1-graph	n_good_conjugate	308	312
rank1-graph	n_good_conjugate	309	234
rank1-graph	n_good_conjugate	310	234
rank1-graph	n_good_conjugate	311	78
rank1-graph	n_good_conjugate	312	104
rank1-graph	n_good_conjugate	313	234
rank1-graph	n_good_conjugate	315	78
rank1-graph	n_good_conjugate	317	78
rank1-graph	n_good_conjugate	318	78
rank1-graph	n_good_conjugate	319	156
rank1-graph	n_good_conjugate	327	13
rank1-graph	n_good_conjugate	329	78
rank1-graph	n_good_conjugate	336	26
rank1-graph	n_good_conjugate	337	78
rank1-graph	n_good_conjugate	828	117
rank1-graph	n_good_conjugate	975	378
rank1-graph	n_good_conjugate	1053	234
rank1-graph	n_onepoint	0	19892
rank1-graph	n_onepoint	1	312
rank1-graph	n_onepoint	2	3666
rank1-graph	n_onepoint	3	10504
rank1-graph	n_onepoint	4	23088
rank1-graph	n_onepoint	5	36270
rank1-graph	n_onepoint	6	52559
rank1-graph	n_onepoint	7	62868
rank1-graph	n_onepoint	8	74646
rank1-graph	n_onepoint	9	71214
rank1-graph	n_onepoint	10	58188
rank1-graph	n_onepoint	11	48750
rank1-graph	n_onepoint	12	36309
rank1-graph	n_onepoint	13	23400
rank1-graph	n_onepoint	14	14040
rank1-graph	n_onepoint	15	7930
rank1-graph	n_onepoint	16	3900
rank1-graph	n_onepoint	17	2106
rank1-graph	n_onepoint	18	676
rank1-graph	n_onepoint	19	702
rank1-graph	n_onepoint	21	104
rank1-offgraph	n_good	78	26
rank1-offgraph	n_good	227	1053
rank1-offgraph	n_good	231	702
rank1-offgraph	n_good	245	2106
rank1-offgraph	n_good	252	4212
rank1-offgraph	n_good	254	2106
rank1-offgraph	n_good	255	702
rank1-offgraph	n_good	256	2028
rank1-offgraph	n_good	257	2106
rank1-offgraph	n_good	258	4563
rank1-offgraph	n_good	259	2106
rank1-offgraph	n_good	260	2028
rank1-offgraph	n_good	261	351
rank1-offgraph	n_good	262	2028
rank1-offgraph	n_good	263	6162
rank1-offgraph	n_good	264	1053
rank1-offgraph	n_good	266	10530
rank1-offgraph	n_good	267	4836
rank1-offgraph	n_good	268	4134
rank1-offgraph	n_good	269	10296
rank1-offgraph	n_good	270	4810
rank1-offgraph	n_good	271	6318
rank1-offgraph	n_good	272	9321
rank1-offgraph	n_good	273	15886
rank1-offgraph	n_good	274	8268
rank1-offgraph	n_good	275	12480
rank1-offgraph	n_good	276	15535
rank1-offgraph	n_good	277	12480
rank1-offgraph	n_good	278	33462
rank1-offgraph	n_good	279	25662
rank1-offgraph	n_good	280	16614
