[Z3xZ3xZ3xZ5] |G|=135 |Aut|=44928  order=true j=22 par-ply=10 cap=700000000
  [  15s] nodes=18910 memo=15942 rss=64MB
  [6720s] nodes=8404104 memo=7649525 rss=371MB
  [6735s] nodes=8422219 memo=7665156 rss=371MB
  [6750s] nodes=8440424 memo=7680821 rss=371MB
  [6765s] nodes=8459951 memo=7697607 rss=371MB
  [6780s] nodes=8479412 memo=7714229 rss=371MB
  [6795s] nodes=8499103 memo=7731213 rss=371MB
  [6810s] nodes=8518264 memo=7747730 rss=371MB
  [6825s] nodes=8538032 memo=7764720 rss=371MB
  [6840s] nodes=8557367 memo=7781266 rss=371MB
  [6855s] nodes=8576452 memo=7797574 rss=371MB
  [6870s] nodes=8595893 memo=7814159 rss=371MB
  [6885s] nodes=8615196 memo=7830789 rss=371MB
  [6900s] nodes=8634586 memo=7847555 rss=371MB
  [6915s] nodes=8654177 memo=7864485 rss=371MB
  [6930s] nodes=8673838 memo=7881396 rss=371MB
  [6945s] nodes=8693078 memo=7898031 rss=371MB
  [6960s] nodes=8712337 memo=7914681 rss=371MB
  [6975s] nodes=8731928 memo=7931660 rss=371MB
  [6990s] nodes=8751207 memo=7948319 rss=371MB
  [7005s] nodes=8770995 memo=7965408 rss=371MB
  [7020s] nodes=8790571 memo=7982291 rss=371MB
  [7035s] nodes=8809698 memo=7998881 rss=371MB
  [7050s] nodes=8828233 memo=8015000 rss=371MB
  [7065s] nodes=8847156 memo=8031427 rss=371MB
  [7080s] nodes=8866183 memo=8047916 rss=371MB
  [7095s] nodes=8885434 memo=8064437 rss=371MB
  [7110s] nodes=8904477 memo=8080878 rss=371MB
  [7125s] nodes=8923045 memo=8096581 rss=371MB
  [7140s] nodes=8942369 memo=8112285 rss=371MB
  [7155s] nodes=8961381 memo=8127756 rss=371MB
  [7170s] nodes=8980733 memo=8143421 rss=371MB
  [7185s] nodes=8999522 memo=8158772 rss=371MB
  [7200s] nodes=9018662 memo=8174258 rss=371MB
  [7215s] nodes=9038085 memo=8190048 rss=371MB
  [7230s] nodes=9057313 memo=8205699 rss=371MB
  [7245s] nodes=9076619 memo=8221522 rss=371MB
  [7260s] nodes=9096264 memo=8237499 rss=371MB
